group_code,start_date,end_date,id_mep,membership_length
SD,2019-07-02,2021-11-29,93,881
SD,2019-07-02,2024-07-15,94,1840
EPP,2019-07-02,2024-07-15,95,1840
EPP,2019-07-02,2024-07-15,96,1840
RENEW,2019-07-02,2023-03-07,97,1344
RENEW,2019-07-02,2024-07-15,98,1840
EPP,2019-07-02,2024-07-15,99,1840
GREEN_EFA,2019-07-02,2024-07-15,100,1840
GUE_NGL,2019-07-02,2024-07-15,101,1840
SD,2020-02-01,2024-07-15,102,1626
ID,2019-07-02,2024-07-15,103,1840
EPP,2019-07-02,2024-07-15,104,1840
GUE_NGL,2019-07-02,2024-07-15,105,1840
GREEN_EFA,2019-07-02,2024-07-15,106,1840
SD,2022-12-30,2023-10-17,107,291
EPP,2019-07-02,2024-07-15,108,1840
SD,2019-07-02,2024-07-15,109,1840
ECR,2019-07-02,2024-07-15,110,1840
NI,2021-01-21,2024-07-15,111,1271
GUE_NGL,2019-07-02,2021-07-05,112,734
NI,2019-07-02,2020-01-02,113,184
RENEW,2019-07-02,2024-07-15,114,1840
RENEW,2019-07-02,2024-07-15,115,1840
ECR,2019-07-02,2024-07-15,116,1840
GREEN_EFA,2019-07-02,2024-07-15,117,1840
GREEN_EFA,2019-07-02,2021-12-15,118,897
GREEN_EFA,2019-07-02,2024-07-15,119,1840
GREEN_EFA,2019-07-02,2024-07-15,120,1840
GREEN_EFA,2019-07-02,2023-09-23,121,1544
GREEN_EFA,2019-07-02,2023-11-29,122,1611
EPP,2019-07-02,2024-07-15,123,1840
GREEN_EFA,2019-07-02,2024-07-15,124,1840
GREEN_EFA,2019-07-02,2024-07-15,125,1840
EPP,2019-07-02,2024-07-15,126,1840
EPP,2019-07-02,2024-07-15,127,1840
EPP,2019-07-02,2024-07-15,128,1840
EPP,2019-07-02,2024-07-15,129,1840
EPP,2022-11-02,2024-07-15,130,621
RENEW,2021-11-10,2024-07-15,131,978
EPP,2019-07-02,2024-07-15,132,1840
EPP,2019-07-02,2024-07-15,133,1840
EPP,2019-07-02,2024-07-15,134,1840
EPP,2019-07-02,2024-07-15,135,1840
ECR,2019-07-02,2024-07-15,136,1840
ECR,2019-07-02,2024-07-15,137,1840
EPP,2019-07-02,2024-07-15,138,1840
EPP,2019-07-02,2023-09-03,139,1524
ECR,2019-07-02,2024-07-15,140,1840
EPP,2019-07-02,2024-07-15,141,1840
SD,2019-07-02,2024-07-15,142,1840
GUE_NGL,2019-07-02,2024-03-25,143,1728
NI,2021-03-05,2024-07-15,144,1228
NI,2021-03-05,2024-07-15,145,1228
NI,2021-03-05,2024-07-15,146,1228
SD,2019-07-02,2024-07-15,147,1840
SD,2019-07-02,2024-07-15,148,1840
SD,2019-07-02,2023-07-02,149,1461
SD,2019-07-02,2022-01-10,150,923
GUE_NGL,2019-07-02,2024-07-15,151,1840
SD,2019-07-02,2022-01-11,152,924
EPP,2019-07-02,2024-04-01,153,1735
GREEN_EFA,2019-07-02,2024-07-15,154,1840
SD,2019-07-02,2023-01-17,155,1295
RENEW,2019-07-02,2024-07-15,156,1840
SD,2019-07-02,2024-07-15,157,1840
SD,2019-07-02,2019-09-05,158,65
EPP,2019-07-02,2024-04-01,159,1735
EPP,2019-07-02,2024-04-01,160,1735
SD,2019-07-02,2022-05-12,161,1045
RENEW,2019-07-02,2024-07-15,162,1840
SD,2019-07-02,2024-07-15,163,1840
EPP,2019-07-02,2024-07-15,164,1840
EPP,2019-07-02,2024-07-15,165,1840
EPP,2020-02-01,2024-07-15,166,1626
NI,2019-07-02,2020-01-31,167,213
SD,2019-07-02,2024-07-15,168,1840
RENEW,2019-07-02,2020-01-31,169,213
EPP,2019-07-02,2024-03-25,170,1728
SD,2019-07-02,2024-07-15,171,1840
SD,2019-07-02,2024-07-15,172,1840
RENEW,2019-07-02,2024-07-15,173,1840
ECR,2019-07-02,2021-03-30,174,637
ID,2019-07-02,2022-10-12,175,1198
GREEN_EFA,2019-07-02,2024-07-15,176,1840
EPP,2019-07-02,2024-07-15,177,1840
EPP,2019-07-02,2024-07-15,178,1840
EPP,2019-07-02,2024-07-15,179,1840
ID,2019-07-02,2024-07-15,180,1840
NI,2019-07-02,2020-01-31,181,213
EPP,2019-07-02,2024-07-15,182,1840
ID,2019-07-02,2024-07-15,183,1840
SD,2019-07-02,2024-07-15,184,1840
GREEN_EFA,2019-07-02,2024-07-15,185,1840
RENEW,2019-07-02,2023-10-24,186,1575
GREEN_EFA,2019-07-02,2024-07-15,187,1840
EPP,2019-07-02,2024-07-15,188,1840
ECR,2019-07-02,2020-01-31,189,213
RENEW,2019-07-02,2020-01-31,190,213
EPP,2019-07-02,2024-07-15,191,1840
SD,2019-07-02,2024-07-15,192,1840
SD,2020-02-01,2024-07-15,193,1626
SD,2019-07-02,2024-07-15,194,1840
SD,2019-07-02,2023-06-01,195,1430
GUE_NGL,2019-07-02,2020-01-31,196,213
RENEW,2019-07-02,2024-07-15,197,1840
EPP,2019-07-02,2024-07-15,198,1840
RENEW,2019-07-02,2024-07-15,199,1840
ECR,2019-07-02,2021-06-30,200,729
EPP,2019-07-02,2019-11-30,201,151
GUE_NGL,2019-07-02,2024-07-15,202,1840
SD,2019-07-02,2024-07-15,203,1840
ECR,2019-07-02,2024-07-15,204,1840
NI,2021-03-05,2024-07-15,205,1228
SD,2019-07-02,2024-07-15,206,1840
SD,2019-07-02,2024-07-15,207,1840
RENEW,2019-07-02,2022-11-29,208,1246
RENEW,2019-07-02,2024-07-15,209,1840
RENEW,2019-07-02,2024-07-15,210,1840
EPP,2019-07-02,2024-07-15,211,1840
EPP,2019-07-02,2024-07-15,212,1840
SD,2019-07-02,2024-07-15,213,1840
RENEW,2019-07-02,2024-07-15,214,1840
RENEW,2019-07-02,2024-07-15,215,1840
EPP,2019-07-02,2024-07-15,216,1840
NI,2021-03-05,2024-07-15,217,1228
EPP,2019-07-02,2024-07-15,218,1840
NI,2021-03-05,2024-07-15,219,1228
EPP,2019-07-02,2024-07-15,220,1840
SD,2019-07-02,2024-07-15,221,1840
EPP,2019-07-02,2024-07-15,222,1840
EPP,2019-07-02,2024-04-04,223,1738
SD,2019-07-02,2024-07-15,224,1840
ID,2019-07-02,2024-07-15,225,1840
SD,2019-07-02,2024-07-15,226,1840
SD,2019-07-02,2024-07-15,227,1840
ID,2019-07-02,2022-02-15,228,959
ID,2019-07-02,2022-07-28,229,1122
RENEW,2019-07-02,2024-07-15,230,1840
ID,2019-07-02,2024-07-15,231,1840
ID,2019-07-02,2024-07-15,232,1840
NI,2019-07-02,2024-07-15,233,1840
GREEN_EFA,2020-12-09,2022-10-12,234,672
ID,2019-07-02,2024-07-15,235,1840
SD,2019-07-02,2024-07-15,236,1840
SD,2019-07-02,2024-07-15,237,1840
SD,2019-07-02,2024-07-15,238,1840
SD,2019-07-02,2024-07-15,239,1840
EPP,2019-07-02,2024-07-15,240,1840
EPP,2019-07-02,2024-07-15,241,1840
EPP,2019-07-02,2024-07-15,242,1840
EPP,2019-07-02,2024-07-15,243,1840
EPP,2019-07-02,2021-09-28,244,819
NI,2019-07-02,2024-02-07,245,1681
SD,2019-07-02,2022-10-12,246,1198
GREEN_EFA,2019-07-02,2020-07-15,247,379
RENEW,2020-02-13,2024-07-15,248,1614
SD,2019-07-02,2024-07-15,249,1840
EPP,2019-07-02,2024-07-15,250,1840
EPP,2021-04-29,2024-07-15,251,1173
NI,2019-07-02,2024-07-15,252,1840
NI,2019-07-02,2024-07-15,253,1840
GREEN_EFA,2020-12-09,2024-07-15,254,1314
SD,2019-07-02,2024-07-15,255,1840
SD,2019-07-02,2024-07-15,256,1840
GREEN_EFA,2020-12-09,2024-07-15,257,1314
SD,2019-07-02,2024-07-15,258,1840
EPP,2019-07-02,2024-07-15,259,1840
SD,2019-07-02,2024-07-15,260,1840
GREEN_EFA,2020-12-09,2024-07-15,261,1314
SD,2019-07-02,2023-05-10,262,1408
RENEW,2019-07-02,2024-07-15,263,1840
RENEW,2019-07-02,2024-07-15,264,1840
SD,2019-07-02,2024-07-15,265,1840
RENEW,2019-07-02,2024-07-15,267,1840
ECR,2019-07-02,2024-07-15,268,1840
ID,2022-11-22,2024-07-15,269,601
ECR,2019-07-02,2024-07-15,270,1840
ECR,2019-07-02,2024-07-15,271,1840
ECR,2019-07-02,2024-07-15,272,1840
ECR,2019-07-02,2024-07-15,273,1840
EPP,2019-07-02,2023-10-18,274,1569
EPP,2019-07-02,2024-07-15,275,1840
GREEN_EFA,2019-07-02,2024-07-15,276,1840
SD,2019-07-02,2024-07-15,277,1840
GREEN_EFA,2019-07-02,2020-01-31,278,213
SD,2019-07-02,2020-01-31,279,213
SD,2019-07-02,2020-01-31,280,213
SD,2019-07-02,2020-01-31,281,213
SD,2019-07-02,2020-01-31,282,213
NI,2019-07-02,2020-01-31,283,213
SD,2019-07-02,2020-10-18,284,474
GREEN_EFA,2019-07-02,2023-11-20,285,1602
ID,2019-07-02,2024-07-15,286,1840
GUE_NGL,2019-07-02,2024-07-15,287,1840
GUE_NGL,2019-07-02,2020-02-07,288,220
EPP,2020-02-01,2024-07-15,289,1626
RENEW,2019-07-02,2020-12-12,290,529
SD,2019-07-02,2022-09-25,291,1181
GUE_NGL,2019-07-02,2024-07-15,292,1840
ECR,2019-07-02,2024-07-15,293,1840
ID,2019-07-02,2024-07-15,294,1840
EPP,2019-07-02,2024-07-15,295,1840
RENEW,2019-07-02,2024-07-15,296,1840
EPP,2019-07-02,2024-07-15,297,1840
SD,2019-07-02,2024-07-15,298,1840
SD,2019-07-02,2024-07-15,299,1840
GUE_NGL,2019-07-02,2024-07-15,300,1840
ID,2020-02-01,2022-10-23,301,995
EPP,2019-07-02,2023-08-16,302,1506
EPP,2019-07-02,2024-07-15,303,1840
RENEW,2019-07-02,2024-07-15,304,1840
SD,2019-07-02,2024-07-15,305,1840
SD,2019-07-02,2024-07-15,306,1840
SD,2019-07-02,2024-07-15,307,1840
SD,2019-07-02,2024-07-15,308,1840
EPP,2019-07-02,2022-05-04,309,1037
EPP,2019-07-02,2024-07-15,310,1840
EPP,2019-07-02,2024-07-15,311,1840
EPP,2019-07-02,2024-04-05,312,1739
EPP,2019-07-02,2024-07-15,313,1840
NI,2019-07-02,2024-07-15,314,1840
EPP,2019-07-02,2024-07-15,315,1840
ECR,2019-07-02,2024-07-15,316,1840
SD,2019-07-02,2022-12-08,317,1255
SD,2019-07-02,2023-05-02,318,1400
RENEW,2019-07-02,2024-07-15,319,1840
GREEN_EFA,2019-07-02,2024-07-15,320,1840
RENEW,2021-03-11,2024-07-15,321,1222
EPP,2019-07-02,2024-07-15,322,1840
EPP,2019-07-02,2024-07-15,323,1840
RENEW,2019-07-02,2024-07-15,324,1840
SD,2019-07-02,2024-07-15,325,1840
ID,2019-07-02,2024-07-15,326,1840
RENEW,2019-07-02,2024-07-15,327,1840
EPP,2021-01-26,2024-07-15,329,1266
RENEW,2019-07-02,2024-07-15,330,1840
ECR,2019-07-02,2022-09-06,331,1162
GUE_NGL,2019-07-02,2024-07-15,332,1840
GUE_NGL,2019-07-02,2024-07-15,333,1840
ID,2019-07-02,2024-07-15,334,1840
ID,2019-07-02,2024-07-15,335,1840
ECR,2023-04-12,2024-07-15,336,460
RENEW,2019-07-02,2024-07-15,337,1840
RENEW,2019-07-02,2024-07-15,338,1840
GUE_NGL,2021-07-06,2024-07-15,339,1105
ID,2019-07-02,2024-07-15,340,1840
GREEN_EFA,2020-02-01,2024-07-15,341,1626
ID,2019-07-02,2024-07-15,342,1840
GREEN_EFA,2019-07-02,2024-07-15,343,1840
EPP,2019-07-02,2024-07-15,344,1840
SD,2019-07-02,2024-07-15,345,1840
ID,2019-07-02,2024-07-15,346,1840
GREEN_EFA,2020-07-23,2024-07-15,347,1453
GUE_NGL,2019-07-02,2024-07-15,348,1840
SD,2019-07-02,2020-01-31,349,213
NI,2019-07-02,2020-01-31,350,213
EPP,2019-07-02,2024-07-15,351,1840
ID,2019-07-02,2024-07-15,352,1840
ECR,2019-07-02,2020-01-31,353,213
EPP,2019-07-02,2024-07-15,354,1840
SD,2019-07-02,2020-01-31,355,213
GREEN_EFA,2020-02-01,2024-07-15,356,1626
GUE_NGL,2019-07-02,2024-07-15,357,1840
ID,2019-07-02,2022-02-13,358,957
RENEW,2019-07-02,2024-07-15,359,1840
EPP,2019-07-02,2024-07-15,360,1840
EPP,2019-07-02,2024-07-15,361,1840
RENEW,2019-07-02,2024-07-15,362,1840
SD,2019-07-02,2022-11-08,363,1225
ID,2019-07-02,2024-07-15,364,1840
GREEN_EFA,2019-07-02,2024-07-15,365,1840
GREEN_EFA,2019-07-02,2024-07-15,366,1840
EPP,2019-07-02,2023-10-23,367,1574
EPP,2019-07-02,2024-07-15,368,1840
SD,2019-07-02,2024-07-15,369,1840
SD,2019-07-02,2024-07-15,370,1840
EPP,2019-07-02,2024-07-15,371,1840
SD,2019-07-02,2024-07-15,372,1840
GREEN_EFA,2019-07-02,2024-07-15,373,1840
SD,2019-07-02,2024-02-20,374,1694
GREEN_EFA,2019-07-02,2024-07-15,375,1840
ECR,2019-07-02,2022-09-25,376,1181
RENEW,2019-07-02,2024-07-15,377,1840
RENEW,2019-07-02,2024-07-15,378,1840
EPP,2019-07-02,2024-07-15,379,1840
SD,2019-07-02,2024-07-15,380,1840
EPP,2019-07-02,2024-07-15,381,1840
EPP,2019-07-02,2024-07-15,382,1840
EPP,2019-07-02,2024-07-15,383,1840
EPP,2019-07-02,2024-07-15,384,1840
EPP,2019-07-02,2024-07-15,385,1840
EPP,2019-07-02,2024-07-15,386,1840
EPP,2019-07-02,2024-07-15,387,1840
EPP,2019-07-02,2024-07-15,388,1840
GUE_NGL,2019-07-02,2024-07-15,389,1840
GUE_NGL,2019-07-02,2024-07-15,390,1840
EPP,2019-07-02,2024-07-15,391,1840
RENEW,2019-07-02,2024-07-15,392,1840
RENEW,2019-07-02,2024-07-15,393,1840
EPP,2019-07-02,2021-01-11,394,559
EPP,2019-07-02,2024-07-15,395,1840
EPP,2019-07-02,2024-07-15,396,1840
GREEN_EFA,2019-07-02,2024-07-15,397,1840
EPP,2019-07-02,2024-07-15,398,1840
EPP,2019-07-02,2024-07-15,399,1840
EPP,2019-07-02,2024-07-15,400,1840
SD,2019-07-02,2019-11-30,401,151
EPP,2019-07-02,2024-07-15,402,1840
RENEW,2019-07-02,2024-07-15,403,1840
GREEN_EFA,2019-07-02,2024-07-15,404,1840
RENEW,2019-07-02,2024-07-15,405,1840
SD,2019-07-02,2024-07-15,406,1840
NI,2020-01-29,2024-07-15,407,1629
SD,2019-07-02,2024-07-15,408,1840
EPP,2021-04-29,2024-02-04,409,1011
RENEW,2019-07-02,2023-12-31,410,1643
NI,2019-07-02,2024-07-15,411,1840
GREEN_EFA,2019-07-02,2024-07-15,412,1840
SD,2019-07-02,2024-07-15,413,1840
SD,2019-07-02,2024-07-15,414,1840
RENEW,2019-07-02,2024-07-15,415,1840
RENEW,2019-07-02,2024-07-15,416,1840
RENEW,2019-07-02,2024-07-15,417,1840
SD,2019-07-02,2024-07-15,418,1840
RENEW,2019-07-02,2024-07-15,419,1840
GREEN_EFA,2019-07-02,2024-07-15,420,1840
GREEN_EFA,2019-07-02,2024-07-15,421,1840
GREEN_EFA,2019-07-02,2024-07-15,422,1840
RENEW,2019-07-02,2024-07-15,423,1840
GREEN_EFA,2019-07-02,2024-07-15,424,1840
EPP,2019-07-02,2024-07-15,425,1840
GREEN_EFA,2019-07-02,2024-07-15,426,1840
EPP,2019-07-02,2024-07-15,427,1840
GREEN_EFA,2019-07-02,2024-07-15,428,1840
GREEN_EFA,2019-07-02,2024-07-15,429,1840
GREEN_EFA,2019-07-02,2024-07-15,430,1840
GREEN_EFA,2019-07-02,2024-07-15,431,1840
RENEW,2019-07-02,2024-07-15,432,1840
GREEN_EFA,2019-07-02,2024-07-15,433,1840
GREEN_EFA,2019-07-02,2024-07-15,434,1840
GREEN_EFA,2019-07-02,2024-07-15,435,1840
ECR,2019-07-02,2024-07-15,436,1840
GUE_NGL,2019-07-02,2024-07-15,437,1840
ECR,2019-07-02,2024-07-15,438,1840
GREEN_EFA,2019-07-02,2024-07-15,439,1840
GREEN_EFA,2019-07-02,2020-09-30,440,456
ID,2019-07-02,2024-07-15,441,1840
EPP,2019-07-02,2024-07-15,442,1840
ID,2019-07-02,2024-07-15,443,1840
ECR,2021-06-23,2024-07-15,444,1118
ID,2019-07-02,2024-07-15,445,1840
ID,2019-07-02,2024-07-15,446,1840
ID,2019-07-02,2024-07-15,447,1840
ID,2019-07-02,2024-07-15,448,1840
ID,2019-07-02,2024-07-15,449,1840
ID,2019-07-02,2024-07-15,450,1840
EPP,2019-07-02,2024-07-15,451,1840
SD,2019-07-02,2024-07-15,452,1840
EPP,2019-07-02,2023-10-18,453,1569
ID,2019-07-02,2024-07-15,454,1840
RENEW,2019-07-02,2024-07-15,455,1840
SD,2019-07-02,2024-07-15,456,1840
SD,2019-07-02,2024-07-15,457,1840
SD,2019-07-02,2024-07-15,458,1840
SD,2019-07-02,2024-07-15,459,1840
RENEW,2019-07-02,2022-05-19,460,1052
GREEN_EFA,2019-07-02,2024-07-15,461,1840
ECR,2019-07-02,2024-07-15,462,1840
RENEW,2019-07-02,2024-07-15,463,1840
GREEN_EFA,2019-07-02,2024-07-15,464,1840
RENEW,2019-07-02,2024-07-15,465,1840
RENEW,2019-07-02,2024-07-15,466,1840
GREEN_EFA,2019-07-02,2024-07-15,467,1840
SD,2019-07-02,2024-07-15,468,1840
RENEW,2019-07-02,2024-01-11,469,1654
EPP,2019-07-02,2024-07-15,470,1840
GREEN_EFA,2019-07-02,2022-03-08,471,980
GREEN_EFA,2019-07-02,2024-07-15,472,1840
EPP,2019-07-02,2024-07-15,473,1840
EPP,2019-07-02,2024-07-15,474,1840
EPP,2019-07-02,2024-07-15,475,1840
ECR,2019-07-02,2024-07-15,476,1840
EPP,2019-07-02,2024-07-15,477,1840
ECR,2019-07-02,2024-07-15,478,1840
ECR,2019-07-02,2024-07-15,479,1840
ECR,2019-07-02,2024-07-15,480,1840
GUE_NGL,2019-07-02,2022-07-28,481,1122
SD,2021-03-24,2024-07-15,482,1209
SD,2019-07-02,2024-07-15,483,1840
EPP,2019-07-02,2024-07-15,484,1840
RENEW,2019-07-02,2024-07-15,485,1840
GUE_NGL,2019-07-02,2024-07-15,486,1840
RENEW,2019-07-02,2024-07-15,487,1840
GUE_NGL,2019-07-02,2024-07-15,488,1840
ECR,2019-07-02,2024-07-15,489,1840
GREEN_EFA,2019-07-02,2024-07-15,490,1840
ECR,2019-07-02,2024-07-15,491,1840
GUE_NGL,2019-07-02,2024-07-15,492,1840
EPP,2019-07-02,2024-07-15,493,1840
EPP,2019-07-02,2023-09-23,494,1544
EPP,2019-07-02,2024-07-15,495,1840
ECR,2019-07-02,2024-07-15,496,1840
ECR,2019-07-02,2024-07-15,497,1840
GREEN_EFA,2019-07-02,2024-07-15,498,1840
SD,2019-07-02,2024-07-15,499,1840
ECR,2019-07-02,2024-07-15,500,1840
EPP,2019-07-02,2024-07-15,501,1840
RENEW,2019-07-02,2024-07-15,502,1840
ECR,2019-07-02,2024-07-15,503,1840
ECR,2019-07-02,2024-07-15,504,1840
GREEN_EFA,2019-07-02,2024-07-15,505,1840
RENEW,2019-07-02,2024-07-15,506,1840
EPP,2019-07-02,2023-12-12,507,1624
GREEN_EFA,2019-07-02,2024-07-15,508,1840
GREEN_EFA,2020-09-30,2024-07-15,509,1384
RENEW,2019-07-02,2024-07-15,510,1840
ECR,2019-07-02,2024-07-15,511,1840
ECR,2019-07-02,2024-07-15,512,1840
RENEW,2019-07-02,2022-09-01,513,1157
RENEW,2019-07-02,2022-11-14,514,1231
ID,2019-07-02,2024-07-15,515,1840
RENEW,2019-07-02,2024-07-15,516,1840
RENEW,2019-07-02,2024-07-15,517,1840
ECR,2019-07-02,2024-07-15,518,1840
RENEW,2019-07-02,2024-07-15,519,1840
ID,2019-07-02,2023-12-12,520,1624
ECR,2019-07-02,2024-07-15,521,1840
RENEW,2019-07-02,2024-07-15,522,1840
ID,2019-07-02,2022-11-14,523,1231
GUE_NGL,2019-07-02,2024-07-15,524,1840
ECR,2019-07-02,2024-07-15,525,1840
GREEN_EFA,2019-07-02,2024-07-15,526,1840
GREEN_EFA,2019-07-02,2024-07-15,527,1840
RENEW,2019-07-02,2024-07-15,528,1840
RENEW,2019-07-02,2024-07-15,529,1840
ID,2019-07-02,2024-07-15,530,1840
SD,2019-07-02,2024-07-15,531,1840
ID,2019-07-02,2024-07-15,532,1840
RENEW,2019-07-02,2024-07-15,533,1840
ID,2019-07-02,2024-07-15,534,1840
SD,2019-07-02,2024-07-15,535,1840
RENEW,2019-07-02,2024-07-15,536,1840
ID,2019-07-02,2023-10-02,537,1553
SD,2019-07-02,2024-07-15,538,1840
RENEW,2019-07-02,2024-07-15,539,1840
RENEW,2019-07-02,2024-07-15,540,1840
SD,2019-07-02,2024-07-15,541,1840
SD,2019-07-02,2024-07-15,542,1840
SD,2019-07-02,2023-04-04,543,1372
RENEW,2019-07-02,2023-08-09,544,1499
ID,2019-07-02,2023-04-04,545,1372
RENEW,2019-07-02,2024-07-15,546,1840
ID,2019-07-02,2023-04-04,547,1372
ID,2019-07-02,2022-07-28,548,1122
NI,2019-07-02,2020-01-31,549,213
RENEW,2019-07-02,2020-01-31,550,213
NI,2019-07-02,2020-01-31,551,213
GREEN_EFA,2019-07-02,2020-01-31,552,213
NI,2019-07-02,2020-01-31,553,213
RENEW,2019-07-02,2020-01-31,554,213
EPP,2019-07-02,2024-07-15,555,1840
ECR,2019-07-02,2024-07-15,556,1840
ID,2019-07-02,2024-07-15,557,1840
ID,2019-07-02,2024-07-15,558,1840
ID,2019-07-02,2024-07-15,559,1840
NI,2019-07-02,2020-01-09,560,191
GREEN_EFA,2019-07-02,2020-01-31,561,213
ID,2019-07-02,2022-10-12,562,1198
ID,2019-07-02,2022-01-24,563,937
ID,2019-07-02,2024-07-15,564,1840
SD,2019-07-02,2021-11-16,565,868
SD,2019-07-02,2024-07-15,566,1840
NI,2019-07-02,2024-07-15,567,1840
NI,2019-07-02,2020-01-31,568,213
EPP,2019-07-02,2024-07-15,569,1840
ID,2019-07-02,2024-07-15,570,1840
RENEW,2019-07-02,2024-07-15,571,1840
RENEW,2019-07-02,2020-01-31,572,213
ID,2019-07-02,2022-11-09,573,1226
ID,2019-07-02,2024-07-15,574,1840
ID,2019-07-02,2024-07-15,575,1840
ID,2019-07-02,2022-02-01,576,945
RENEW,2019-07-02,2024-07-15,577,1840
RENEW,2019-07-02,2024-07-15,578,1840
SD,2019-07-02,2024-07-15,579,1840
SD,2019-07-02,2024-07-15,580,1840
EPP,2019-07-02,2024-07-15,581,1840
EPP,2019-07-02,2024-07-15,582,1840
SD,2019-07-02,2024-07-15,583,1840
SD,2019-07-02,2019-07-18,584,16
SD,2019-07-02,2024-07-15,585,1840
NI,2019-07-02,2020-01-31,586,213
EPP,2019-07-02,2020-01-06,587,188
GREEN_EFA,2019-07-02,2020-01-31,588,213
GREEN_EFA,2019-07-02,2024-07-15,589,1840
EPP,2019-07-02,2024-07-15,590,1840
EPP,2019-07-02,2024-07-15,591,1840
EPP,2019-07-02,2024-07-15,592,1840
EPP,2019-07-02,2024-07-15,593,1840
SD,2019-07-02,2024-07-15,594,1840
SD,2019-07-02,2024-07-15,595,1840
EPP,2019-07-02,2024-07-15,596,1840
